,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
666,female,group C,some college,free/reduced,completed,63,73,71
667,female,group B,bachelor's degree,free/reduced,none,77,85,87
668,male,group C,some college,standard,none,73,74,61
669,male,group D,associate's degree,standard,completed,81,72,77
670,female,group C,high school,free/reduced,none,66,76,68
671,male,group D,associate's degree,free/reduced,none,52,57,50
672,female,group C,some college,standard,none,69,78,76
673,female,group C,associate's degree,standard,completed,65,84,84
674,female,group D,high school,standard,completed,69,77,78
675,female,group B,some college,standard,completed,50,64,66
676,female,group E,some college,standard,completed,73,78,76
677,female,group C,some high school,standard,completed,70,82,76
678,male,group D,associate's degree,free/reduced,none,81,75,78
679,male,group D,some college,free/reduced,none,63,61,60
680,female,group D,high school,standard,none,67,72,74
681,male,group B,high school,standard,none,60,68,60
682,male,group B,high school,standard,none,62,55,54
683,female,group C,some high school,free/reduced,completed,29,40,44
684,male,group B,some college,standard,completed,62,66,68
685,female,group E,master's degree,standard,completed,94,99,100
686,male,group E,some college,standard,completed,85,75,68
687,male,group D,associate's degree,free/reduced,none,77,78,73
688,male,group A,high school,free/reduced,none,53,58,44
689,male,group E,some college,free/reduced,none,93,90,83
690,female,group C,associate's degree,standard,none,49,53,53
691,female,group E,associate's degree,free/reduced,none,73,76,78
692,female,group C,bachelor's degree,free/reduced,completed,66,74,81
693,female,group D,associate's degree,standard,none,77,77,73
694,female,group C,some high school,standard,none,49,63,56
695,female,group D,some college,free/reduced,none,79,89,86
696,female,group C,associate's degree,standard,completed,75,82,90
697,female,group A,bachelor's degree,standard,none,59,72,70
698,female,group D,associate's degree,standard,completed,57,78,79
699,male,group C,high school,free/reduced,none,66,66,59
700,female,group E,bachelor's degree,standard,completed,79,81,82
701,female,group B,some high school,standard,none,57,67,72
702,male,group A,bachelor's degree,standard,completed,87,84,87
703,female,group D,some college,standard,none,63,64,67
704,female,group B,some high school,free/reduced,completed,59,63,64
705,male,group A,bachelor's degree,free/reduced,none,62,72,65
706,male,group D,high school,standard,none,46,34,36
707,male,group C,some college,standard,none,66,59,52
708,male,group D,high school,standard,none,89,87,79
709,female,group D,associate's degree,free/reduced,completed,42,61,58
710,male,group C,some college,standard,completed,93,84,90
711,female,group E,some high school,standard,completed,80,85,85
712,female,group D,some college,standard,none,98,100,99
713,male,group D,master's degree,standard,none,81,81,84
714,female,group B,some high school,standard,completed,60,70,74
715,female,group B,associate's degree,free/reduced,completed,76,94,87
716,male,group C,associate's degree,standard,completed,73,78,72
717,female,group C,associate's degree,standard,completed,96,96,99
718,female,group C,high school,standard,none,76,76,74
719,male,group E,associate's degree,free/reduced,completed,91,73,80
720,female,group C,some college,free/reduced,none,62,72,70
721,male,group D,some high school,free/reduced,completed,55,59,59
722,female,group B,some high school,free/reduced,completed,74,90,88
723,male,group C,high school,standard,none,50,48,42
724,male,group B,some college,standard,none,47,43,41
725,male,group E,some college,standard,completed,81,74,71
726,female,group E,associate's degree,standard,completed,65,75,77
727,male,group E,some high school,standard,completed,68,51,57
728,female,group D,high school,free/reduced,none,73,92,84
729,male,group C,some college,standard,none,53,39,37
730,female,group B,associate's degree,free/reduced,completed,68,77,80
731,male,group A,some high school,free/reduced,none,55,46,43
732,female,group C,some college,standard,completed,87,89,94
733,male,group D,some high school,standard,none,55,47,44
734,female,group E,some college,free/reduced,none,53,58,57
735,male,group C,master's degree,standard,none,67,57,59
736,male,group C,associate's degree,standard,none,92,79,84
737,female,group B,some college,free/reduced,completed,53,66,73
738,male,group D,associate's degree,standard,none,81,71,73
739,male,group C,high school,free/reduced,none,61,60,55
740,male,group D,bachelor's degree,standard,none,80,73,72
741,female,group A,associate's degree,free/reduced,none,37,57,56
742,female,group C,high school,standard,none,81,84,82
743,female,group C,associate's degree,standard,completed,59,73,72
744,male,group B,some college,free/reduced,none,55,55,47
745,male,group D,associate's degree,standard,none,72,79,74
746,male,group D,high school,standard,none,69,75,71
747,male,group C,some college,standard,none,69,64,68
748,female,group C,bachelor's degree,free/reduced,none,50,60,59
749,male,group B,some college,standard,completed,87,84,86
750,male,group D,some high school,standard,completed,71,69,68
751,male,group E,some college,standard,none,68,72,65
752,male,group C,master's degree,free/reduced,completed,79,77,75
753,female,group C,some high school,standard,completed,77,90,85
754,male,group C,associate's degree,free/reduced,none,58,55,53
755,female,group E,associate's degree,standard,none,84,95,92
756,male,group D,some college,standard,none,55,58,52
757,male,group E,bachelor's degree,free/reduced,completed,70,68,72
758,female,group D,some college,free/reduced,completed,52,59,65
759,male,group B,some college,standard,completed,69,77,77
760,female,group C,high school,free/reduced,none,53,72,64
761,female,group D,some high school,standard,none,48,58,54
762,male,group D,some high school,standard,completed,78,81,86
763,female,group B,high school,standard,none,62,62,63
764,male,group D,some college,standard,none,60,63,59
765,female,group B,high school,standard,none,74,72,72
766,female,group C,high school,standard,completed,58,75,77
767,male,group B,high school,standard,completed,76,62,60
768,female,group D,some high school,standard,none,68,71,75
769,male,group A,some college,free/reduced,none,58,60,57
770,male,group B,high school,standard,none,52,48,49
771,male,group D,bachelor's degree,standard,none,75,73,74
772,female,group B,some high school,free/reduced,completed,52,67,72
773,female,group C,bachelor's degree,free/reduced,none,62,78,79
774,male,group B,some college,standard,none,66,65,60
775,female,group B,some high school,free/reduced,none,49,58,55
776,female,group B,high school,standard,none,66,72,70
777,female,group C,some college,free/reduced,none,35,44,43
778,female,group A,some college,standard,completed,72,79,82
779,male,group E,associate's degree,standard,completed,94,85,82
780,female,group D,associate's degree,free/reduced,none,46,56,57
781,female,group B,master's degree,standard,none,77,90,84
782,female,group B,high school,free/reduced,completed,76,85,82
783,female,group C,associate's degree,standard,completed,52,59,62
784,male,group C,bachelor's degree,standard,completed,91,81,79
785,female,group B,some high school,standard,completed,32,51,44
786,female,group E,some high school,free/reduced,none,72,79,77
787,female,group B,some college,standard,none,19,38,32
788,male,group C,associate's degree,free/reduced,none,68,65,61
789,female,group C,master's degree,free/reduced,none,52,65,61
790,female,group B,high school,standard,none,48,62,60
791,female,group D,some college,free/reduced,none,60,66,70
792,male,group D,high school,free/reduced,none,66,74,69
793,male,group E,some high school,standard,completed,89,84,77
794,female,group B,high school,standard,none,42,52,51
795,female,group E,associate's degree,free/reduced,completed,57,68,73
796,male,group D,high school,standard,none,70,70,70
797,female,group E,associate's degree,free/reduced,none,70,84,81
798,male,group E,some college,standard,none,69,60,54
799,female,group C,associate's degree,standard,none,52,55,57
800,male,group C,some high school,standard,completed,67,73,68
801,male,group C,some high school,standard,completed,76,80,73
