,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
333,male,group B,associate's degree,standard,none,90,78,81
334,female,group C,bachelor's degree,standard,none,83,93,95
335,female,group B,some college,free/reduced,none,61,68,66
336,male,group D,some high school,standard,completed,76,70,69
337,male,group C,associate's degree,standard,none,49,51,43
338,female,group B,some high school,free/reduced,none,24,38,27
339,female,group D,some high school,free/reduced,completed,35,55,60
340,male,group C,high school,free/reduced,none,58,61,52
341,female,group C,high school,standard,none,61,73,63
342,female,group B,high school,standard,completed,69,76,74
343,male,group D,associate's degree,standard,completed,67,72,67
344,male,group D,some college,standard,none,79,73,67
345,female,group C,high school,standard,none,72,80,75
346,male,group B,some college,standard,none,62,61,57
347,female,group C,bachelor's degree,standard,completed,77,94,95
348,male,group D,high school,free/reduced,none,75,74,66
349,male,group E,associate's degree,standard,none,87,74,76
350,female,group B,bachelor's degree,standard,none,52,65,69
351,male,group E,some college,standard,none,66,57,52
352,female,group C,some college,standard,completed,63,78,80
353,female,group C,associate's degree,standard,none,46,58,57
354,female,group C,some college,standard,none,59,71,70
355,female,group B,bachelor's degree,standard,none,61,72,70
356,male,group A,associate's degree,standard,none,63,61,61
357,female,group C,some college,free/reduced,completed,42,66,69
358,male,group D,some college,free/reduced,none,59,62,61
359,female,group D,some college,standard,none,80,90,89
360,female,group B,high school,standard,none,58,62,59
361,male,group B,some high school,standard,completed,85,84,78
362,female,group C,some college,standard,none,52,58,58
363,female,group D,some high school,free/reduced,none,27,34,32
364,male,group C,some college,standard,none,59,60,58
365,male,group A,bachelor's degree,free/reduced,completed,49,58,60
366,male,group C,high school,standard,completed,69,58,53
367,male,group C,bachelor's degree,free/reduced,none,61,66,61
368,female,group A,some high school,free/reduced,none,44,64,58
369,female,group D,some high school,standard,none,73,84,85
370,male,group E,some college,standard,none,84,77,71
371,female,group C,some college,free/reduced,completed,45,73,70
372,male,group D,some high school,standard,none,74,74,72
373,female,group D,some college,standard,completed,82,97,96
374,female,group D,bachelor's degree,standard,none,59,70,73
375,male,group E,associate's degree,free/reduced,none,46,43,41
376,female,group D,some high school,standard,none,80,90,82
377,female,group D,master's degree,free/reduced,completed,85,95,100
378,female,group A,some high school,standard,none,71,83,77
379,male,group A,bachelor's degree,standard,none,66,64,62
380,female,group B,associate's degree,standard,none,80,86,83
381,male,group C,associate's degree,standard,completed,87,100,95
382,male,group C,master's degree,free/reduced,none,79,81,71
383,female,group E,some high school,free/reduced,none,38,49,45
384,female,group A,some high school,free/reduced,none,38,43,43
385,female,group E,some college,standard,none,67,76,75
386,female,group E,bachelor's degree,standard,none,64,73,70
387,female,group C,associate's degree,free/reduced,none,57,78,67
388,female,group D,high school,standard,none,62,64,64
389,male,group D,master's degree,standard,none,73,70,75
390,male,group E,some high school,free/reduced,completed,73,67,59
391,female,group D,some college,standard,none,77,68,77
392,male,group E,some college,standard,none,76,67,67
393,male,group C,associate's degree,standard,completed,57,54,56
394,female,group C,some high school,standard,completed,65,74,77
395,male,group A,high school,free/reduced,none,48,45,41
396,female,group B,high school,free/reduced,none,50,67,63
397,female,group C,associate's degree,standard,none,85,89,95
398,male,group B,some high school,standard,none,74,63,57
399,male,group D,some high school,standard,none,60,59,54
400,female,group C,some high school,standard,completed,59,54,67
401,male,group A,some college,standard,none,53,43,43
402,female,group A,some college,free/reduced,none,49,65,55
403,female,group D,high school,standard,completed,88,99,100
404,female,group C,high school,standard,none,54,59,62
405,female,group C,some high school,standard,none,63,73,68
406,male,group B,associate's degree,standard,completed,65,65,63
407,female,group B,associate's degree,standard,none,82,80,77
408,female,group D,high school,free/reduced,completed,52,57,56
409,male,group D,associate's degree,standard,completed,87,84,85
410,female,group D,master's degree,standard,completed,70,71,74
411,male,group E,some college,standard,completed,84,83,78
412,male,group D,associate's degree,standard,none,71,66,60
413,male,group B,some high school,standard,completed,63,67,67
414,female,group C,bachelor's degree,free/reduced,completed,51,72,79
415,male,group E,high school,standard,none,84,73,69
416,male,group C,bachelor's degree,standard,completed,71,74,68
417,male,group C,associate's degree,standard,none,74,73,67
418,male,group D,some college,standard,none,68,59,62
419,male,group E,high school,free/reduced,completed,57,56,54
420,female,group C,associate's degree,free/reduced,completed,82,93,93
421,female,group D,high school,standard,completed,57,58,64
422,female,group D,master's degree,free/reduced,completed,47,58,67
423,female,group A,some high school,standard,completed,59,85,80
424,male,group B,some college,free/reduced,none,41,39,34
425,female,group C,some college,free/reduced,none,62,67,62
426,male,group C,bachelor's degree,standard,none,86,83,86
427,male,group C,some high school,free/reduced,none,69,71,65
428,male,group A,some high school,free/reduced,none,65,59,53
429,male,group C,some high school,free/reduced,none,68,63,54
430,male,group C,associate's degree,free/reduced,none,64,66,59
431,female,group C,high school,standard,none,61,72,70
432,male,group C,high school,standard,none,61,56,55
433,female,group A,some high school,free/reduced,none,47,59,50
434,male,group C,some high school,standard,none,73,66,66
435,male,group C,some college,free/reduced,completed,50,48,53
